iter	Passed	Remaining
0	135	135076
1	135	67739
2	136	45287
3	136	34062
4	137	27332
5	137	22840
6	138	19627
7	138	17220
8	139	15347
9	139	13850
10	140	12628
11	140	11607
12	141	10742
13	141	9999
14	142	9357
15	143	8795
16	143	8300
17	144	7859
18	144	7464
19	145	7108
20	145	6785
21	146	6497
22	146	6231
23	147	5984
24	147	5759
25	148	5551
26	148	5359
27	149	5179
28	149	5011
29	150	4853
30	150	4705
31	151	4567
32	151	4438
33	151	4316
34	152	4200
35	152	4091
36	153	3988
37	153	3892
38	154	3802
39	154	3715
40	155	3632
41	155	3552
42	156	3476
43	156	3403
44	157	3334
45	157	3267
46	158	3204
47	158	3143
48	158	3084
49	159	3028
50	159	2973
51	160	2921
52	160	2873
53	161	2825
54	161	2781
55	162	2738
56	163	2703
57	164	2665
58	164	2626
59	165	2589
60	165	2552
61	166	2516
62	166	2482
63	167	2449
64	167	2416
65	168	2383
66	168	2353
67	169	2320
68	169	2290
69	170	2261
70	170	2233
71	171	2205
72	171	2179
73	172	2154
74	172	2129
75	173	2105
76	173	2081
77	174	2058
78	174	2036
79	175	2013
80	175	1991
81	175	1970
82	176	1949
83	177	1930
84	177	1909
85	177	1890
86	178	1870
87	178	1852
88	179	1834
89	179	1816
90	180	1799
91	180	1782
92	181	1765
93	181	1749
94	181	1733
95	182	1718
96	182	1702
97	183	1687
98	183	1672
99	184	1659
100	184	1645
101	185	1629
102	185	1615
103	185	1602
104	186	1589
105	186	1576
106	187	1563
107	187	1550
108	188	1538
109	188	1526
110	189	1514
111	189	1503
112	190	1491
113	190	1480
114	190	1469
115	191	1458
116	191	1448
117	192	1438
118	192	1428
119	193	1418
120	193	1408
121	194	1398
122	194	1387
123	195	1377
124	195	1368
125	195	1359
126	196	1350
127	196	1339
128	197	1331
129	197	1322
130	198	1314
131	198	1305
132	199	1297
133	199	1288
134	199	1280
135	200	1272
136	200	1264
137	201	1256
138	201	1248
139	202	1241
140	202	1233
141	202	1226
142	203	1219
143	203	1211
144	204	1204
145	204	1197
146	205	1190
147	205	1184
148	206	1177
149	206	1170
150	207	1164
151	207	1157
152	208	1151
153	208	1145
154	208	1138
155	209	1132
156	209	1126
157	210	1120
158	210	1114
159	211	1109
160	211	1103
161	212	1097
162	212	1091
163	213	1086
164	213	1080
165	214	1075
166	214	1070
167	214	1064
168	215	1059
169	215	1053
170	216	1048
171	216	1043
172	217	1038
173	217	1033
174	218	1028
175	218	1023
176	219	1018
177	219	1013
178	219	1009
179	220	1004
180	220	998
181	221	994
182	221	989
183	222	985
184	222	980
185	222	975
186	223	971
187	223	966
188	224	962
189	224	958
190	225	953
191	225	949
192	226	945
193	226	941
194	226	937
195	227	933
196	227	928
197	228	924
198	228	920
199	229	916
200	229	913
201	230	909
202	230	905
203	231	901
204	231	897
205	231	893
206	232	890
207	232	886
208	233	882
209	233	879
210	234	875
211	234	872
212	235	868
213	235	865
214	235	861
215	236	858
216	236	854
217	237	851
218	237	848
219	238	844
220	238	841
221	239	838
222	239	834
223	240	831
224	240	828
225	240	825
226	241	822
227	241	818
228	242	815
229	242	812
230	243	809
231	243	806
232	244	803
